the	{"determiner": ["cái", "con", "những"]}
gritty	{"adjective": ["có sạn", "gan dạ", "thực tế"]}
extraction	{"noun": ["sự chiết xuất", "sự khai thác", "sự nhổ răng"]}
glisten	{"verb": ["lấp lánh", "long lanh"]}
courtship	{"noun": ["sự tán tỉnh", "giai đoạn tìm hiểu"]}
victimization	{"noun": ["sự ngược đãi", "sự làm nạn nhân"]}
pentagon	{"noun": ["ngũ giác", "lầu năm góc"]}
yen	{"noun": ["đồng yên", "sự thèm muốn"]}
rift	{"noun": ["vết nứt", "sự rạn nứt", "sự bất hòa"]}
orgasm	{"noun": ["cực khoái"]}
melting	{"noun": ["sự tan chảy", "sự tan băng"], "adjective": ["đang tan chảy"]}
takeoff	{"noun": ["sự cất cánh", "sự khởi đầu", "sự bắt chước"]}
gracefully	{"adverb": ["duyên dáng", "thanh lịch", "nhã nhặn"]}
admirable	{"adjective": ["đáng ngưỡng mộ", "đáng khâm phục"]}
encyclopedia	{"noun": ["bách khoa toàn thư"]}
remorse	{"noun": ["sự hối hận", "sự ăn năn"]}
shortfall	{"noun": ["sự thiếu hụt", "sự thâm hụt"]}
cubicle	{"noun": ["buồng nhỏ", "ô làm việc"]}
progressively	{"adverb": ["dần dần", "tăng tiến", "ngày càng"]}
principally	{"adverb": ["chủ yếu", "chính yếu", "quan trọng nhất"]}
beforehand	{"adverb": ["trước", "sớm", "từ trước"]}
undecided	{"adjective": ["do dự", "chưa quyết định"]}
margarine	{"noun": ["bơ thực vật"]}
lookout	{"noun": ["người canh gác", "đài quan sát", "sự trông chừng"]}
scroll	{"noun": ["cuộn giấy", "thanh cuộn"], "verb": ["cuộn", "lướt"]}
objectivity	{"noun": ["tính khách quan"]}
affidavit	{"noun": ["bản khai có tuyên thệ"]}
folded	{"adjective": ["gấp lại", "được gấp"]}
neural	{"adjective": ["thuộc thần kinh"]}
satire	{"noun": ["sự châm biếm", "sự trào phúng"]}
dues	{"noun": ["tiền hội phí", "tiền đóng góp"]}
cot	{"noun": ["giường xếp", "cũi"]}
alternatively	{"adverb": ["một cách khác", "hoặc là", "thay vào đó"]}
makeover	{"noun": ["sự thay đổi diện mạo", "sự cải tạo"], "verb": ["thay đổi diện mạo", "cải tạo"]}
batting	{"noun": ["sự đánh bóng", "lớp bông", "vật liệu nhồi"]}
nation-state	{"noun": ["quốc gia dân tộc"]}
behold	{"verb": ["nhìn", "ngắm", "thấy"]}
pew	{"noun": ["ghế dài trong nhà thờ"]}
ethiopian	{"adjective": ["thuộc Ethiopia"], "noun": ["người Ethiopia"]}
wring	{"verb": ["vắt", "xoắn", "bóp"]}
tedious	{"adjective": ["tẻ nhạt", "buồn tẻ", "chán ngắt"]}
nostalgic	{"adjective": ["hoài cổ", "luyến tiếc quá khứ"]}
turbulence	{"noun": ["sự hỗn loạn", "sự nhiễu loạn", "tình trạng bất ổn"]}
differentiation	{"noun": ["sự phân biệt", "sự khác biệt"]}
dignified	{"adjective": ["đàng hoàng", "trang nghiêm", "đứng đắn"]}
parody	{"noun": ["sự nhại", "bản nhại"], "verb": ["nhại lại"]}
caste	{"noun": ["đẳng cấp", "giai cấp"]}
humanities	{"noun": ["nhân văn", "khoa học xã hội"]}
relentlessly	{"adverb": ["không ngừng nghỉ", "tàn nhẫn", "kiên trì"]}
neutralize	{"verb": ["trung hòa", "vô hiệu hóa", "làm mất tác dụng"]}
proportional	{"adjective": ["tỷ lệ", "tương xứng"]}
rebate	{"noun": ["sự giảm giá", "khoản chiết khấu"], "verb": ["giảm giá", "chiết khấu"]}
scripture	{"noun": ["kinh thánh", "thánh thư"]}
sewing	{"noun": ["sự may vá"]}
austrian	{"adjective": ["thuộc Áo"], "noun": ["người Áo"]}
fleeting	{"adjective": ["thoáng qua", "ngắn ngủi", "chóng tàn"]}
pedestal	{"noun": ["bệ đỡ", "chân đế"]}
biographer	{"noun": ["người viết tiểu sử"]}
abdominal	{"adjective": ["thuộc bụng"]}
diarrhea	{"noun": ["bệnh tiêu chảy"]}
delineate	{"verb": ["vạch ra", "phác họa", "mô tả"]}
spew	{"verb": ["phun ra", "thải ra", "tuôn ra"]}
modern-day	{"adjective": ["hiện đại", "ngày nay"]}
omission	{"noun": ["sự bỏ sót", "sự bỏ quên", "sự thiếu sót"]}
annoyance	{"noun": ["sự khó chịu", "sự bực mình", "điều gây phiền toái"]}
paranoia	{"noun": ["chứng hoang tưởng", "tâm thần phân liệt"]}
kuwaiti	{"adjective": ["thuộc Kuwait"], "noun": ["người Kuwait"]}
emeritus	{"adjective": ["đã nghỉ hưu", "danh dự"]}
reptile	{"noun": ["loài bò sát"]}
foreclosure	{"noun": ["sự tịch thu tài sản thế chấp"]}
insecure	{"adjective": ["không an toàn", "bất an", "tự ti"]}
majestic	{"adjective": ["hùng vĩ", "uy nghi", "tráng lệ"]}
confound	{"verb": ["làm bối rối", "làm lẫn lộn", "gây ngạc nhiên"]}
mathematician	{"noun": ["nhà toán học"]}
surreal	{"adjective": ["siêu thực", "kỳ lạ", "ảo diệu"]}
cleanse	{"verb": ["làm sạch", "tẩy rửa", "thanh lọc"]}
relocation	{"noun": ["sự di dời", "sự tái định cư"]}
adopted	{"adjective": ["được nhận nuôi", "được chấp nhận"]}
lotion	{"noun": ["kem dưỡng da", "sữa dưỡng thể"]}
identifiable	{"adjective": ["có thể nhận dạng được", "có thể xác định được"]}
cadre	{"noun": ["cán bộ", "khung", "đội ngũ"]}
commend	{"verb": ["khen ngợi", "tán dương", "giao phó"]}
encircle	{"verb": ["bao quanh", "vây quanh", "khoanh tròn"]}
confiscate	{"verb": ["tịch thu", "sung công"]}
dynasty	{"noun": ["triều đại", "vương triều"]}
burglary	{"noun": ["vụ trộm", "sự đột nhập bất hợp pháp"]}
coroner	{"noun": ["nhân viên điều tra tử thi"]}
generously	{"adverb": ["hào phóng", "rộng rãi", "phóng khoáng"]}
disco	{"noun": ["vũ trường", "nhạc disco"]}
paradoxically	{"adverb": ["nghịch lý thay", "trớ trêu thay"]}
boldly	{"adverb": ["táo bạo", "dũng cảm", "mạnh dạn"]}
preferable	{"adjective": ["thích hợp hơn", "đáng thích hơn"]}
blue-collar	{"adjective": ["lao động chân tay"]}
amnesty	{"noun": ["sự ân xá", "lệnh ân xá"], "verb": ["ân xá"]}
hydraulic	{"adjective": ["thủy lực"]}
rediscover	{"verb": ["tái khám phá", "tìm lại"]}
disgusted	{"adjective": ["ghê tởm", "khó chịu", "chán ghét"]}
thee	{"pronoun": ["ngươi", "bạn"]}
forcefully	{"adverb": ["mạnh mẽ", "quyết liệt", "hùng hồn"]}
rink	{"noun": ["sân trượt băng", "sân trượt patin"]}
rafter	{"noun": ["xà nhà", "kèo nhà"]}
resurrect	{"verb": ["làm sống lại", "phục hồi", "tái sinh"]}
individualism	{"noun": ["chủ nghĩa cá nhân"]}
neuron	{"noun": ["nơ-ron thần kinh"]}
deli	{"noun": ["cửa hàng bán đồ ăn sẵn"]}
backfire	{"verb": ["phản tác dụng", "gây tác dụng ngược"]}
resilience	{"noun": ["sự kiên cường", "khả năng phục hồi", "sức bật"]}
downright	{"adverb": ["thẳng thừng", "hoàn toàn", "thực sự"], "adjective": ["thẳng thắn", "rõ ràng"]}
measured	{"adjective": ["đo lường", "cẩn trọng", "có chừng mực"]}
buttocks	{"noun": ["mông"]}
delicately	{"adverb": ["tinh tế", "nhẹ nhàng", "mỏng manh"]}
menopause	{"noun": ["thời kỳ mãn kinh"]}
yugoslav	{"adjective": ["thuộc Nam Tư"], "noun": ["người Nam Tư"]}
halftime	{"noun": ["thời gian nghỉ giữa hiệp"]}
derail	{"verb": ["trật bánh", "làm chệch hướng", "phá hỏng"]}
bewildered	{"adjective": ["bối rối", "hoang mang", "lúng túng"]}
individuality	{"noun": ["tính cá nhân", "nét riêng", "đặc điểm riêng"]}
revitalize	{"verb": ["tái sinh", "hồi sinh", "làm sống lại"]}
reassurance	{"noun": ["sự trấn an", "sự đảm bảo"]}
downsize	{"verb": ["thu hẹp quy mô", "cắt giảm nhân sự"]}
impediment	{"noun": ["sự cản trở", "vật cản", "khuyết tật"]}
captivity	{"noun": ["tình trạng bị giam cầm", "sự bắt giữ"]}
steward	{"noun": ["người quản lý", "tiếp viên", "người phục vụ"], "verb": ["quản lý", "chăm sóc"]}
watery	{"adjective": ["loãng", "chứa nhiều nước", "nhạt nhẽo"]}
electromagnetic	{"adjective": ["điện từ"]}
kayak	{"noun": ["thuyền kayak"]}
tentatively	{"adverb": ["dè dặt", "ngập ngừng", "thử nghiệm"]}
awkwardly	{"adverb": ["vụng về", "lúng túng", "khó xử"]}
storefront	{"noun": ["mặt tiền cửa hàng"]}
sparkle	{"verb": ["lấp lánh", "tỏa sáng", "long lanh"], "noun": ["ánh lấp lánh", "sự tỏa sáng"]}
defeated	{"adjective": ["bị đánh bại", "thất bại", "nản lòng"]}
anti-semitism	{"noun": ["chủ nghĩa bài Do Thái"]}
bipolar	{"adjective": ["lưỡng cực"]}
manageable	{"adjective": ["dễ quản lý", "có thể kiểm soát được"]}
guise	{"noun": ["vẻ bề ngoài", "hình thức", "lớp vỏ"]}
electrode	{"noun": ["điện cực"]}
remake	{"verb": ["làm lại", "tái chế", "sửa lại"], "noun": ["bản làm lại", "sự tái chế"]}
ornate	{"adjective": ["trang trí công phu", "hoa mỹ", "lộng lẫy"]}
edible	{"adjective": ["ăn được"]}
colonization	{"noun": ["sự thuộc địa hóa", "sự chiếm đóng"]}
funky	{"adjective": ["phong cách", "độc đáo", "kỳ quặc"]}
viral	{"adjective": ["lan truyền nhanh chóng", "do virus", "có tính virus"]}
disciplined	{"adjective": ["kỷ luật", "có kỷ luật"], "verb": ["kỷ luật"]}
eggplant	{"noun": ["cà tím"]}
cover-up	{"noun": ["sự che đậy", "sự bao che"], "verb": ["che đậy", "bao che"]}
booklet	{"noun": ["cuốn sách nhỏ", "tập sách nhỏ"]}
thunderstorm	{"noun": ["bão tố", "giông bão"]}
bumper	{"noun": ["cản", "bộ phận giảm xóc"], "adjective": ["lớn", "dồi dào"]}
stronghold	{"noun": ["thành trì", "pháo đài", "căn cứ địa"]}
thrilling	{"adjective": ["ly kỳ", "hấp dẫn", "gây hồi hộp"]}
schoolteacher	{"noun": ["giáo viên", "thầy giáo", "cô giáo"]}
focused	{"adjective": ["tập trung", "chú tâm"], "verb": ["tập trung", "nhắm vào"]}
skyscraper	{"noun": ["nhà chọc trời"]}
anxiously	{"adverb": ["lo lắng", "bồn chồn"]}
pronouncement	{"noun": ["lời tuyên bố", "sự tuyên bố"]}
expend	{"verb": ["tiêu dùng", "sử dụng", "bỏ ra"]}
inexperienced	{"adjective": ["thiếu kinh nghiệm", "non kinh nghiệm"]}
airy	{"adjective": ["thoáng đãng", "lộng gió", "nhẹ nhàng"]}
outpatient	{"noun": ["bệnh nhân ngoại trú"]}
resilient	{"adjective": ["kiên cường", "bền bỉ", "có khả năng phục hồi"]}
erratic	{"adjective": ["thất thường", "không đều", "dị thường"]}
redesign	{"verb": ["thiết kế lại"], "noun": ["sự thiết kế lại"]}
refinement	{"noun": ["sự tinh chế", "sự cải tiến", "sự trau chuốt"]}
chute	{"noun": ["máng trượt", "ống trượt"]}
reciprocal	{"adjective": ["có đi có lại", "tương hỗ", "lẫn nhau"]}
neurological	{"adjective": ["thuộc thần kinh", "về thần kinh"]}
hilarious	{"adjective": ["vui nhộn", "hài hước", "buồn cười"]}
mother-in-law	{"noun": ["mẹ chồng", "mẹ vợ"]}
nonfiction	{"noun": ["phi hư cấu", "văn học phi hư cấu"]}
dispel	{"verb": ["xua tan", "đánh tan", "loại bỏ"]}
syringe	{"noun": ["ống tiêm", "xi lanh"]}
small-town	{"adjective": ["thuộc thị trấn nhỏ", "ở thị trấn nhỏ"]}
taunt	{"verb": ["chế nhạo", "nhạo báng"], "noun": ["lời chế nhạo", "sự nhạo báng"]}
stylistic	{"adjective": ["thuộc phong cách", "về phong cách"]}
pointer	{"noun": ["con trỏ", "kim chỉ", "lời khuyên"]}
yawn	{"verb": ["ngáp"], "noun": ["cái ngáp"]}
envelop	{"verb": ["bao bọc", "bao phủ", "gói lại"]}
handshake	{"noun": ["cái bắt tay"]}
theorize	{"verb": ["đưa ra giả thuyết", "lý thuyết hóa"]}
kindly	{"adverb": ["tử tế", "vui lòng"], "adjective": ["tử tế", "nhân hậu"]}
revere	{"verb": ["tôn kính", "sùng kính"]}
renounce	{"verb": ["từ bỏ", "tuyên bố từ bỏ"]}
mormon	{"noun": ["người Mặc Môn"], "adjective": ["thuộc Mặc Môn"]}
distrust	{"noun": ["sự không tin", "sự nghi ngờ"], "verb": ["không tin", "nghi ngờ"]}
emigrate	{"verb": ["di cư", "xuất cư"]}
swath	{"noun": ["dải", "vệt", "khoảng"]}
bribe	{"noun": ["hối lộ", "của hối lộ"], "verb": ["hối lộ"]}
wiggle	{"verb": ["lắc lư", "ngọ nguậy"], "noun": ["sự lắc lư", "sự ngọ nguậy"]}
overstate	{"verb": ["nói quá", "phóng đại"]}
breeder	{"noun": ["người gây giống", "nhà lai tạo"]}
cringe	{"verb": ["co rúm", "khúm núm", "rụt rè"], "noun": ["sự co rúm", "sự khúm núm"]}
disapprove	{"verb": ["không tán thành", "phản đối"]}
whichever	{"pronoun": ["bất cứ cái nào", "bất cứ điều gì"], "adjective": ["bất cứ cái nào", "bất cứ điều gì"]}
lore	{"noun": ["truyền thống", "kiến thức dân gian", "giai thoại"]}
choral	{"adjective": ["thuộc hợp xướng", "về hợp xướng"]}
memorabilia	{"noun": ["đồ lưu niệm", "vật kỷ niệm"]}
gag	{"verb": ["bịt miệng", "làm nghẹn"], "noun": ["miếng bịt miệng", "trò đùa"]}
simplistic	{"adjective": ["đơn giản hóa", "quá đơn giản"]}
czar	{"noun": ["sa hoàng", "người có quyền lực lớn"]}
emphatically	{"adverb": ["nhấn mạnh", "dứt khoát"]}
investing	{"verb": ["đầu tư"], "noun": ["sự đầu tư"]}
proclamation	{"noun": ["tuyên ngôn", "sự tuyên bố"]}
climax	{"noun": ["cao trào", "đỉnh điểm"], "verb": ["đạt đến cao trào"]}
improbable	{"adjective": ["không chắc có", "khó xảy ra"]}
roadway	{"noun": ["lòng đường", "mặt đường"]}
wrapper	{"noun": ["giấy gói", "vỏ bọc"]}
ukrainian	{"adjective": ["thuộc Ukraina", "người Ukraina"], "noun": ["tiếng Ukraina", "người Ukraina"]}
closeness	{"noun": ["sự gần gũi", "sự thân thiết"]}
contributing	{"verb": ["đóng góp", "góp phần"], "adjective": ["góp phần", "có tính đóng góp"]}
victimize	{"verb": ["làm hại", "đối xử bất công", "nạn nhân hóa"]}
unearth	{"verb": ["khai quật", "tìm ra", "phát hiện"]}
ambivalent	{"adjective": ["mâu thuẫn", "lưỡng lự", "không quyết định"]}
caliber	{"noun": ["tầm cỡ", "chất lượng", "khả năng"]}
subgroup	{"noun": ["nhóm nhỏ", "phân nhóm"]}
confinement	{"noun": ["sự giam cầm", "sự hạn chế"]}
hearth	{"noun": ["lò sưởi", "tổ ấm gia đình"]}
humid	{"adjective": ["ẩm ướt", "ẩm thấp"]}
updated	{"adjective": ["đã cập nhật", "mới nhất"], "verb": ["cập nhật"]}
obstruct	{"verb": ["cản trở", "gây trở ngại", "làm tắc nghẽn"]}
shortstop	{"noun": ["vị trí chặn bóng (bóng chày)"]}
trudge	{"verb": ["lê bước", "bước nặng nề"], "noun": ["bước đi nặng nề"]}
glean	{"verb": ["mót", "lượm lặt", "thu thập"]}
generalize	{"verb": ["khái quát hóa", "tổng quát hóa"]}
smuggler	{"noun": ["kẻ buôn lậu"]}
induction	{"noun": ["sự giới thiệu", "sự cảm ứng", "lễ nhậm chức"]}
bungalow	{"noun": ["nhà gỗ một tầng"]}
suggestive	{"adjective": ["gợi ý", "có tính gợi ý", "khiêu gợi"]}
feeding	{"noun": ["sự cho ăn", "sự ăn"], "verb": ["cho ăn", "ăn"]}
faucet	{"noun": ["vòi nước"]}
worldly	{"adjective": ["trần tục", "thế tục", "từng trải"]}
testament	{"noun": ["di chúc", "chứng cớ", "bằng chứng"]}
stash	{"verb": ["cất giấu", "giấu kín"], "noun": ["chỗ cất giấu", "tiền giấu"]}
positioning	{"noun": ["sự định vị", "sự sắp xếp"], "verb": ["định vị", "sắp xếp"]}
humiliating	{"adjective": ["làm nhục", "xúc phạm", "bẽ mặt"]}
centimeter	{"noun": ["xen-ti-mét"]}
shard	{"noun": ["mảnh vỡ", "mảnh vụn"]}
fillet	{"noun": ["phi lê", "lát cá"], "verb": ["lọc phi lê"]}
dialect	{"noun": ["phương ngữ", "tiếng địa phương"]}
varsity	{"noun": ["đội tuyển trường", "đội tuyển đại học"], "adjective": ["thuộc đội tuyển trường"]}
arid	{"adjective": ["khô cằn", "khô hạn"]}
kettle	{"noun": ["ấm đun nước"]}
life-threatening	{"adjective": ["đe dọa tính mạng"]}
biased	{"adjective": ["thiên vị", "không công bằng"]}
sharing	{"noun": ["sự chia sẻ"], "verb": ["chia sẻ"]}
recruiter	{"noun": ["người tuyển dụng", "nhà tuyển dụng"]}
nafta	{"noun": ["NAFTA (Hiệp định Thương mại Tự do Bắc Mỹ)"]}
unreliable	{"adjective": ["không đáng tin cậy", "không chắc chắn"]}
dwindle	{"verb": ["suy giảm", "teo lại", "cạn dần"]}
flyer	{"noun": ["tờ rơi", "người bay", "phi công"]}
transient	{"adjective": ["tạm thời", "nhất thời", "ngắn ngủi"], "noun": ["người tạm trú", "khách vãng lai"]}
rejoice	{"verb": ["vui mừng", "hân hoan"]}
doorstep	{"noun": ["bậc cửa", "thềm cửa"]}
attributable	{"adjective": ["có thể quy cho", "do"]}
patriarch	{"noun": ["gia trưởng", "tộc trưởng", "thượng phụ"]}
substitution	{"noun": ["sự thay thế", "sự đổi chỗ"]}
unspoken	{"adjective": ["không nói ra", "thầm kín"]}
anthropological	{"adjective": ["thuộc nhân chủng học", "về nhân chủng học"]}
welcoming	{"adjective": ["hiếu khách", "chào đón", "nồng nhiệt"]}
unequal	{"adjective": ["không bằng nhau", "bất bình đẳng"]}
mare	{"noun": ["ngựa cái"]}
gal	{"noun": ["cô gái", "nàng"]}
tutoring	{"noun": ["sự dạy kèm", "gia sư"], "verb": ["dạy kèm"]}
misdemeanor	{"noun": ["hành vi sai trái", "tội nhẹ"]}
info	{"noun": ["thông tin"]}
loot	{"noun": ["chiến lợi phẩm", "của cướp được"], "verb": ["cướp bóc", "hôi của"]}
inconvenience	{"noun": ["sự bất tiện", "sự phiền toái"], "verb": ["gây bất tiện", "làm phiền"]}
sleeper	{"noun": ["người ngủ", "toa ngủ", "vật ngủ"]}
caricature	{"noun": ["bức biếm họa", "sự biếm họa"], "verb": ["vẽ biếm họa", "biếm họa"]}
legalize	{"verb": ["hợp pháp hóa"]}
peruvian	{"adjective": ["thuộc Peru", "người Peru"], "noun": ["người Peru"]}
racing	{"noun": ["đua xe", "cuộc đua"], "verb": ["đua"]}
foothill	{"noun": ["chân đồi"]}
propulsion	{"noun": ["sự đẩy tới", "lực đẩy"]}
evergreen	{"adjective": ["thường xanh"], "noun": ["cây thường xanh"]}
